"","2009","2010","2011","2012","2013"
"38",781275.070059549,-11369314.3194852,-13067623.6152297,-23022918.1842172,-25302677.8036679
"39",-3368402.21758984,-7692535.8206867,-20938929.4848081,-34181867.6739481,-35227698.1568959
"40",-3368402.21758984,-10337618.8280019,-14134959.7842629,-24713484.0688466,-25839290.1377184
"41",781275.070059549,-9278079.61165421,-11438793.3560377,-15054759.2288461,-21035400.6514451
"42",-3368402.21758984,-8859266.0967097,-18527351.4973955,-31659162.1313726,-34063858.13919
"43",781275.070059549,-12881700.1626962,-14008777.8671593,-28274198.5312192,-26569994.8513555
"44",781275.070059549,-9921512.55808828,-16358739.6996984,-28088370.8327053,-23775122.306884
"45",781275.070059549,-11298371.7001059,-16404559.5442951,-30429127.3211005,-27841453.4486555
"46",781275.070059549,-10860538.1735925,-9545215.44014147,-14961412.8642849,-11072154.0568661
"47",4930952.35770893,-11624932.544607,-8276779.00321361,-11786252.3346867,-12200581.8196873
"48",781275.070059549,-10547856.1992602,-17117143.5654227,-30371885.621605,-31462574.5204497
"49",4930952.35770893,-9085560.58181487,-10581861.3829478,-11363668.1144154,-13226056.0496501
"50",781275.070059549,-9801740.65314708,-13789789.2182125,-21049668.9167598,-24438886.2885807
"51",781275.070059549,-7758710.88413853,-15943207.2730385,-22819970.5505266,-17226250.9289731
"52",-3368402.21758984,-9814412.47848357,-10919243.179068,-17948588.5737568,-11936363.4111852
"53",4930952.35770893,-8201890.65247089,-20022120.7798827,-29636189.4357051,-37482797.1316627
"54",781275.070059549,-10037442.667867,-15451142.1597775,-25554457.3544717,-27618136.0005977
"55",781275.070059549,-10136062.59204,-18827183.256684,-33636026.9672529,-31028974.9282802
"56",781275.070059549,-10582518.4322855,-11599400.8706169,-18919245.7515193,-18339818.6607812
"57",781275.070059549,-9583749.80432904,-15995379.7363003,-25287337.9953183,-28851348.8584282
"58",-3368402.21758984,-9703806.84838586,-14180308.2588773,-24097099.6571968,-24977976.6162376
"59",781275.070059549,-12435770.0229993,-6810428.94874202,-10704938.3883989,-18195571.6456353
"60",781275.070059549,-11808893.5712961,-10174016.225129,-16657532.6153871,-24229588.0336349
"61",-3368402.21758984,-10214382.7405895,-5756791.61995892,-6500658.69158923,-7020712.92682459
"62",4930952.35770893,-10219916.9514905,-12391348.5799549,-17948022.2405921,-17962048.6701564
"63",781275.070059549,-10463232.3826055,-8799303.32212973,-12347460.2966727,-10131836.1541662
"64",-3368402.21758984,-9912553.15143653,-13062757.4709852,-22053907.1572389,-20937940.4042415
"65",781275.070059549,-10875726.1800712,-14902118.0543193,-25351712.1198812,-30813546.1753074
"66",781275.070059549,-8163001.67712106,-19294484.2452637,-30586863.860734,-30915194.3715459
"67",781275.070059549,-9571928.92624839,-14333450.5950253,-22073693.7700268,-26079221.4699509
"68",781275.070059549,-7281054.59785878,-16686181.7768751,-22656052.8393037,-23165285.9009553
"69",781275.070059549,-10858435.4553439,-17449758.9634797,-31522746.9625816,-33337053.5805421
"70",4930952.35770893,-11006987.1837441,-15731037.3369848,-27054060.2394141,-26048964.318847
"71",781275.070059549,-10547989.6477022,-21028159.5722029,-38573385.2516715,-41521194.4750835
"72",781275.070059549,-11212188.2285734,-14691750.6235735,-26195682.1336241,-34079665.3459586
"73",4930952.35770893,-10822364.8753743,-13434282.4250351,-21071984.5722446,-22956734.185054
"74",4930952.35770893,-11354131.0790598,-7364225.4929379,-9684677.68377327,-6637395.87858321
"75",4930952.35770893,-10829255.7098909,-12020066.9834695,-18370958.8712609,-18477217.2897503
"76",-3368402.21758984,-10603613.7913554,-6187047.15424358,-7233564.20262246,-15580768.0113111
"77",-3368402.21758984,-7316145.82403077,-17789227.9273186,-26361830.8792531,-30388723.5178863
"78",781275.070059549,-7869499.49056386,-15264634.756408,-22003895.9176746,-18584200.5862445
